protocol " srcip" " dstip" " sport" " dport" " min_data_ip" " q1_data_ip" " med_data_ip" mean_data_ip q3_data_ip " max_data_ip" var_data_ip " min_data_wire" " q1_data_wire" " med_data_wire" mean_data_wire q3_data_wire " max_data_wire" var_data_wire min_data_control q1_data_control med_data_control mean_data_control q3_data_control max_data_control var_data_control total_packets ack_pkts_sent pure_acks_sent actual_data_bytes pushed_data_pkts SYN_pkts_sent FIN_pkts_sent urgent_data_pkts max_win_adv min_win_adv zero_win_adv avg_win_adv
tcp 10.0.3.15 106.39.171.84 36762 443 40 40 50 66 40 158 1761 58 58 68 84 58 176 1761 5 5 5 5 5 5 0 6 4 2 3 1 2 1 0 14600 14600 0 14600
tcp 106.39.169.231 10.0.3.15 80 44878 40 40 40 127 40 471 29586 58 58 58 145 58 489 29586 5 5 5 5 5 5 0 5 5 2 1 1 1 1 0 65535 65535 0 65535
tcp 150.138.120.1 10.0.3.15 80 38000 40 60 1460 836 60 1460 463784 58 78 1478 854 78 1478 463784 5 5 5 5 5 5 0 53 53 5 46 19 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 106.39.169.231 58032 80 40 40 40 300 40 1500 289884 58 58 58 318 58 1518 289884 5 5 5 5 5 5 0 24 23 15 9 4 1 0 0 42600 14600 0 28822
tcp 106.39.169.231 10.0.3.15 80 58032 40 40 59 544 1460 1460 404405 58 40 77 562 1478 1478 404405 5 5 5 5 5 5 0 23 23 8 13 6 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 106.39.169.231 37221 80 40 40 40 333 82 1500 328867 58 40 58 351 100 1518 328867 5 5 5 5 5 5 0 175 174 106 68 34 1 1 0 65320 14600 0 58210
tcp 106.39.169.231 10.0.3.15 80 37221 40 40 60 465 805 1460 332068 58 40 78 483 823 1478 332068 5 5 5 5 5 5 0 175 175 68 105 67 1 1 0 65535 65535 0 65535
tcp 106.39.171.84 10.0.3.15 443 36762 40 40 40 42 40 47 8 58 58 58 60 58 65 8 5 5 5 5 5 5 0 5 5 2 1 1 1 1 0 65535 65535 0 65535
udp 10.0.3.15 202.113.16.10 52111 53 57 57 57 57 57 57 0 75 57 75 75 75 75 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 150.138.120.1 33097 80 40 40 40 40 40 345 89 58 58 58 58 58 363 89 5 5 5 5 5 5 0 1046 1045 1043 2 1 1 1 0 65320 14600 0 64585
