,0
0,----------------------------------------------------------------------------------------------------
protocol " srcip" " dstip" " sport" " dport"
tcp 154.8.131.172 10.0.3.15 443 38635
tcp 10.0.3.15 154.8.131.123 57851 4392
tcp 154.8.131.123 10.0.3.15 4392 57851
tcp 10.0.3.15 183.232.91.123 48551 8011
tcp 183.232.91.123 10.0.3.15 8011 48551
tcp 10.0.3.15 183.232.91.123 38777 8011
tcp 183.232.91.123 10.0.3.15 8011 38777
udp 10.0.3.15 202.113.16.41 63896 53
udp 202.113.16.41 10.0.3.15 53 63896
tcp 10.0.3.15 220.194.87.63 51449 443
tcp 220.194.87.63 10.0.3.15 443 51449
tcp 10.0.3.15 119.29.29.29 47581 80
tcp 10.0.3.15 58.58.80.224 51722 443
tcp 119.29.29.29 10.0.3.15 80 47581
tcp 58.58.80.224 10.0.3.15 443 51722
tcp 10.0.3.15 121.17.123.141 55184 443
tcp 121.17.123.141 10.0.3.15 443 55184
tcp 10.0.3.15 119.188.218.229 34338 443
tcp 119.188.218.229 10.0.3.15 443 34338
tcp 10.0.3.15 154.8.131.172 46489 443
tcp 154.8.131.172 10.0.3.15 443 46489
tcp 10.0.3.15 154.8.131.172 52279 443
tcp 154.8.131.172 10.0.3.15 443 52279
tcp 10.0.3.15 154.8.131.172 33430 443
tcp 154.8.131.172 10.0.3.15 443 33430
tcp 10.0.3.15 119.188.218.229 33483 443
tcp 119.188.218.229 10.0.3.15 443 33483
tcp 10.0.3.15 154.8.131.172 47122 443
tcp 154.8.131.172 10.0.3.15 443 47122
tcp 10.0.3.15 154.8.131.172 55703 443
tcp 154.8.131.172 10.0.3.15 443 55703
udp 10.0.3.15 202.113.16.41 12810 53
udp 10.0.3.15 202.113.16.41 37614 53
udp 202.113.16.41 10.0.3.15 53 12810
tcp 10.0.3.15 123.151.79.123 35257 443
udp 202.113.16.41 10.0.3.15 53 37614
tcp 10.0.3.15 154.8.131.165 36636 443
tcp 10.0.3.15 119.29.29.29 56116 80
tcp 154.8.131.165 10.0.3.15 443 36636
tcp 123.151.79.123 10.0.3.15 443 35257
tcp 119.29.29.29 10.0.3.15 80 56116
udp 10.0.3.15 202.113.16.41 42586 53
udp 202.113.16.41 10.0.3.15 53 42586
tcp 10.0.3.15 123.246.194.118 52177 443
tcp 10.0.3.15 119.29.29.29 36927 80
tcp 119.29.29.29 10.0.3.15 80 36927
tcp 123.246.194.118 10.0.3.15 443 52177
tcp 10.0.3.15 154.8.131.172 48303 443
tcp 10.0.3.15 119.29.29.29 43953 80
tcp 154.8.131.172 10.0.3.15 443 48303
tcp 119.29.29.29 10.0.3.15 80 43953
tcp 10.0.3.15 154.8.131.171 47424 443
tcp 154.8.131.171 10.0.3.15 443 47424
tcp 10.0.3.15 119.188.218.226 59695 443
tcp 119.188.218.226 10.0.3.15 443 59695
tcp 10.0.3.15 154.8.131.171 35770 443
tcp 154.8.131.171 10.0.3.15 443 35770
udp 10.0.3.15 202.113.16.41 30711 53
udp 202.113.16.41 10.0.3.15 53 30711
tcp 10.0.3.15 154.8.131.171 38141 443
tcp 154.8.131.171 10.0.3.15 443 38141
tcp 10.0.3.15 119.29.29.29 34917 80
tcp 10.0.3.15 111.32.143.148 44351 443
tcp 119.29.29.29 10.0.3.15 80 34917
tcp 111.32.143.148 10.0.3.15 443 44351
tcp 10.0.3.15 154.8.131.171 55656 443
tcp 154.8.131.171 10.0.3.15 443 55656
udp 10.0.3.15 202.113.16.41 13713 53
udp 202.113.16.41 10.0.3.15 53 13713
tcp 10.0.3.15 154.8.131.165 39101 443
tcp 10.0.3.15 119.29.29.29 53399 80
tcp 154.8.131.165 10.0.3.15 443 39101
tcp 119.29.29.29 10.0.3.15 80 53399
tcp 10.0.3.15 154.8.131.165 35922 443
tcp 154.8.131.165 10.0.3.15 443 35922
tcp 10.0.3.15 154.8.131.165 47746 443
tcp 154.8.131.165 10.0.3.15 443 47746
tcp 10.0.3.15 154.8.131.165 34582 443
tcp 10.0.3.15 154.8.131.165 48758 443
tcp 10.0.3.15 154.8.131.165 37061 443
tcp 154.8.131.165 10.0.3.15 443 34582
tcp 154.8.131.165 10.0.3.15 443 48758
tcp 10.0.3.15 154.8.131.165 41598 443
tcp 10.0.3.15 154.8.131.165 36891 443
tcp 10.0.3.15 154.8.131.165 53651 443
tcp 154.8.131.165 10.0.3.15 443 41598
tcp 154.8.131.165 10.0.3.15 443 36891
tcp 154.8.131.165 10.0.3.15 443 53651
tcp 154.8.131.165 10.0.3.15 443 37061
tcp 10.0.3.15 119.29.29.29 46180 80
tcp 10.0.3.15 123.246.194.118 39672 443
tcp 10.0.3.15 123.246.194.118 37742 443
tcp 10.0.3.15 121.17.123.141 44473 443
tcp 119.29.29.29 10.0.3.15 80 46180
tcp 121.17.123.141 10.0.3.15 443 44473
tcp 123.246.194.118 10.0.3.15 443 39672
tcp 123.246.194.118 10.0.3.15 443 37742
tcp 10.0.3.15 123.246.194.118 48492 443
tcp 123.246.194.118 10.0.3.15 443 48492
tcp 10.0.3.15 123.246.194.118 36278 443
tcp 123.246.194.118 10.0.3.15 443 36278
tcp 10.0.3.15 121.17.123.141 55946 443
tcp 10.0.3.15 121.17.123.141 33051 443
tcp 121.17.123.141 10.0.3.15 443 55946
tcp 121.17.123.141 10.0.3.15 443 33051
tcp 10.0.3.15 154.8.131.172 39108 443
tcp 154.8.131.172 10.0.3.15 443 39108
tcp 10.0.3.15 154.8.131.171 39133 443
tcp 154.8.131.171 10.0.3.15 443 39133
tcp 10.0.3.15 154.8.131.171 50219 443
tcp 154.8.131.171 10.0.3.15 443 50219
tcp 10.0.3.15 154.8.131.171 36398 443
tcp 154.8.131.171 10.0.3.15 443 36398
tcp 10.0.3.15 154.8.131.171 41668 443
tcp 154.8.131.171 10.0.3.15 443 41668
udp 10.0.3.15 202.113.16.41 39473 53
udp 202.113.16.41 10.0.3.15 53 39473
tcp 10.0.3.15 111.32.143.148 47707 443
tcp 10.0.3.15 119.29.29.29 60131 80
tcp 111.32.143.148 10.0.3.15 443 47707
tcp 119.29.29.29 10.0.3.15 80 60131
tcp 10.0.3.15 154.8.131.171 53286 443
tcp 154.8.131.171 10.0.3.15 443 53286
tcp 10.0.3.15 154.8.131.165 36930 443
tcp 154.8.131.165 10.0.3.15 443 36930
tcp 10.0.3.15 119.29.29.29 45089 80
tcp 119.29.29.29 10.0.3.15 80 45089
tcp 10.0.3.15 154.8.131.165 35141 443
tcp 154.8.131.165 10.0.3.15 443 35141
tcp 10.0.3.15 154.8.131.165 40438 443
tcp 154.8.131.165 10.0.3.15 443 40438
tcp 10.0.3.15 154.8.131.165 32785 443
tcp 154.8.131.165 10.0.3.15 443 32785
tcp 10.0.3.15 154.8.131.165 43861 443
tcp 10.0.3.15 154.8.131.165 56453 443
tcp 10.0.3.15 154.8.131.165 57235 443
tcp 10.0.3.15 154.8.131.165 59458 443
tcp 10.0.3.15 154.8.131.165 49262 443
tcp 154.8.131.165 10.0.3.15 443 56453
tcp 154.8.131.165 10.0.3.15 443 43861
tcp 10.0.3.15 154.8.131.165 56512 443
tcp 154.8.131.165 10.0.3.15 443 59458
tcp 154.8.131.165 10.0.3.15 443 57235
tcp 10.0.3.15 154.8.131.165 33140 443
tcp 154.8.131.165 10.0.3.15 443 49262
tcp 154.8.131.165 10.0.3.15 443 56512
tcp 154.8.131.165 10.0.3.15 443 33140
tcp 10.0.3.15 111.32.143.148 41848 443
tcp 111.32.143.148 10.0.3.15 443 41848
tcp 10.0.3.15 119.29.29.29 43404 80
tcp 10.0.3.15 123.246.194.118 47538 443
tcp 119.29.29.29 10.0.3.15 80 43404
tcp 10.0.3.15 123.246.194.118 51793 443
tcp 10.0.3.15 119.29.29.29 59811 80
tcp 119.29.29.29 10.0.3.15 80 59811
tcp 10.0.3.15 123.246.194.118 59479 443
tcp 123.246.194.118 10.0.3.15 443 47538
tcp 123.246.194.118 10.0.3.15 443 51793
tcp 123.246.194.118 10.0.3.15 443 59479
