protocol " srcip" " dstip" " sport" " dport" " min_data_ip" " q1_data_ip" " med_data_ip" mean_data_ip q3_data_ip " max_data_ip" var_data_ip " min_data_wire" " q1_data_wire" " med_data_wire" mean_data_wire q3_data_wire " max_data_wire" var_data_wire min_data_control q1_data_control med_data_control mean_data_control q3_data_control max_data_control var_data_control total_packets ack_pkts_sent pure_acks_sent actual_data_bytes pushed_data_pkts SYN_pkts_sent FIN_pkts_sent urgent_data_pkts max_win_adv min_win_adv zero_win_adv avg_win_adv
udp 202.113.16.41 10.0.3.15 53 62120 207 207 207 207 207 207 0 225 207 225 225 225 225 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 222.222.88.102 53088 443 40 40 40 56 40 461 4276 58 58 58 74 58 479 4276 5 5 5 5 5 5 0 49 48 43 5 4 1 1 0 65320 14600 0 53637
tcp 222.222.88.102 10.0.3.15 443 53088 40 360 1460 1075 360 1460 357704 58 378 1478 1093 378 1478 357704 5 5 5 5 5 5 0 84 84 5 77 18 1 1 0 65535 65535 0 65535
udp 10.0.3.15 202.113.16.41 1924 53 69 69 69 69 69 69 0 87 69 87 87 87 87 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 154.8.131.171 40210 443 40 40 50 202 40 765 73777 58 58 68 220 58 783 73777 5 5 5 5 5 5 0 12 11 5 6 5 1 1 0 17688 14600 0 16201
udp 202.113.16.41 10.0.3.15 53 1924 85 85 85 85 85 85 0 103 85 103 103 103 103 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 106.75.84.31 45652 443 40 40 40 120 77 893 45108 58 40 58 138 95 911 45108 5 5 5 5 5 5 0 15 12 7 5 4 1 1 0 34080 0 2 21285
tcp 154.8.131.171 10.0.3.15 443 40210 40 40 40 142 185 525 34333 58 40 58 160 203 543 34333 5 5 5 5 5 5 0 11 11 6 3 3 1 1 0 65535 65535 0 65535
tcp 106.75.84.31 10.0.3.15 443 45652 40 40 60 458 40 1460 351477 58 58 78 476 58 1478 351477 5 5 5 5 5 5 0 16 16 5 8 5 1 1 0 65535 0 1 61439
udp 10.0.3.15 202.113.16.41 40039 53 67 67 67 67 67 67 0 85 67 85 85 85 85 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
udp 10.0.3.15 202.113.16.41 48290 53 66 66 66 66 66 66 0 84 66 84 84 84 84 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
udp 202.113.16.41 10.0.3.15 53 48290 336 336 336 336 336 336 0 354 336 354 354 354 354 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 124.238.243.138 50488 443 40 40 40 64 40 317 4392 58 58 58 82 58 335 4392 5 5 5 5 5 5 0 29 27 22 5 4 1 0 0 65320 0 1 45579
udp 202.113.16.41 10.0.3.15 53 40039 339 339 339 339 339 339 0 357 339 357 357 357 357 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 150.138.179.234 44662 80 40 40 40 120 40 419 22440 58 58 58 138 58 437 22440 5 5 5 5 5 5 0 5 4 2 2 1 1 1 0 15544 14600 0 14978
tcp 124.238.243.138 10.0.3.15 443 50488 40 497 1460 1106 497 1460 330247 58 515 1478 1124 515 1478 330247 5 5 5 5 5 5 0 46 46 4 40 7 1 0 0 65535 0 1 64110
tcp 150.138.179.234 10.0.3.15 80 44662 40 40 40 89 40 283 9373 58 58 58 107 58 301 9373 5 5 5 5 5 5 0 5 5 2 1 1 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 202.113.18.146 41575 80 40 40 40 41 40 470 393 58 40 58 59 58 488 393 5 5 5 5 5 5 0 471 457 455 2 1 1 0 0 65535 0 13 61997
tcp 202.113.18.146 10.0.3.15 80 41575 40 1460 1460 1435 1460 1460 28975 58 1478 1478 1453 1478 1478 28975 5 5 5 5 5 5 0 2332 2332 1 2317 140 1 0 0 65535 0 13 65170
tcp 10.0.3.15 124.238.243.138 43444 443 40 40 40 116 99 449 18616 58 40 58 134 117 467 18616 5 5 5 5 5 5 0 11 10 5 5 4 1 1 0 34080 14600 0 23159
tcp 124.238.243.138 10.0.3.15 443 43444 40 40 675 739 40 1460 466766 58 58 693 757 58 1478 466766 5 5 5 5 5 5 0 14 14 5 8 3 0 1 0 65535 65535 0 65535
tcp 10.0.3.15 124.238.243.138 50711 443 40 40 40 59 40 449 5647 58 40 58 77 58 467 5647 5 5 5 5 5 5 0 43 41 36 5 4 1 0 0 65320 0 1 51605
tcp 124.238.243.138 10.0.3.15 443 50711 40 1460 1460 1198 1460 1460 272543 58 1478 1478 1216 1478 1478 272543 5 5 5 5 5 5 0 78 78 4 72 10 1 0 0 65535 0 1 64695
tcp 10.0.3.15 124.238.243.138 50986 443 40 40 40 55 40 449 4556 58 58 58 73 58 467 4556 5 5 5 5 5 5 0 52 48 43 5 4 1 0 0 65320 0 3 51439
tcp 124.238.243.138 10.0.3.15 443 50986 40 370 1460 1082 370 1460 358109 58 388 1478 1100 388 1478 358109 5 5 5 5 5 5 0 94 94 4 86 19 1 0 0 65535 0 3 63443
tcp 10.0.3.15 124.238.243.138 38312 443 40 40 40 104 40 449 16501 58 58 58 122 58 467 16501 5 5 5 5 5 5 0 13 12 7 5 4 1 1 0 34080 14600 0 22904
tcp 124.238.243.138 10.0.3.15 443 38312 40 40 132 652 40 1460 454682 58 58 150 670 58 1478 454682 5 5 5 5 5 5 0 16 16 5 9 4 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 124.238.243.138 42226 443 40 40 40 55 40 449 4401 58 58 58 73 58 467 4401 5 5 5 5 5 5 0 56 54 49 5 4 1 0 0 65320 0 1 55118
tcp 124.238.243.138 10.0.3.15 443 42226 40 1010 1460 1127 1010 1460 324322 58 1028 1478 1145 1028 1478 324322 5 5 5 5 5 5 0 101 101 4 95 20 1 0 0 65535 0 1 64886
udp 10.0.3.15 202.113.16.41 1510 53 62 62 62 62 62 62 0 80 62 80 80 80 80 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
udp 202.113.16.41 10.0.3.15 53 1510 110 110 110 110 110 110 0 128 110 128 128 128 128 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 154.8.131.172 39963 443 40 40 50 146 40 605 35576 58 58 68 164 58 623 35576 5 5 5 5 5 5 0 10 9 4 5 4 1 1 0 21300 14600 0 17563
tcp 10.0.3.15 154.8.131.172 39895 443 40 40 50 141 40 557 31377 58 58 68 159 58 575 31377 5 5 5 5 5 5 0 10 9 4 5 4 1 1 0 16949 14600 0 15823
tcp 10.0.3.15 119.29.29.29 50504 80 40 40 40 113 40 385 18556 58 58 58 131 58 403 18556 5 5 5 5 5 5 0 5 4 2 2 1 1 1 0 15544 14600 0 14978
tcp 154.8.131.172 10.0.3.15 443 39963 40 40 40 292 40 1460 230960 58 58 58 310 58 1478 230960 5 5 5 5 5 5 0 10 10 5 3 2 1 1 0 65535 65535 0 65535
tcp 154.8.131.172 10.0.3.15 443 39895 40 40 40 167 40 1037 96570 58 58 58 185 58 1055 96570 5 5 5 5 5 5 0 9 9 5 2 2 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 119.29.29.29 52604 80 40 40 40 113 40 385 18556 58 58 58 131 58 403 18556 5 5 5 5 5 5 0 5 4 2 2 1 1 1 0 15544 14600 0 14978
tcp 119.29.29.29 10.0.3.15 80 50504 40 40 40 81 40 240 6339 58 58 58 99 58 258 6339 5 5 5 5 5 5 0 5 5 2 1 1 1 1 0 65535 65535 0 65535
tcp 119.29.29.29 10.0.3.15 80 52604 40 40 40 81 40 240 6339 58 58 58 99 58 258 6339 5 5 5 5 5 5 0 5 5 2 1 1 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 58.58.80.224 44813 443 40 40 40 91 40 429 13144 58 58 58 109 58 447 13144 5 5 5 5 5 5 0 22 21 15 6 5 1 1 0 48280 14600 0 32585
tcp 10.0.3.15 119.29.29.29 34525 80 40 40 40 113 40 385 18556 58 58 58 131 58 403 18556 5 5 5 5 5 5 0 5 4 2 2 1 1 1 0 15544 14600 0 14978
tcp 119.29.29.29 10.0.3.15 80 34525 40 40 40 135 40 513 35648 58 58 58 153 58 531 35648 5 5 5 5 5 5 0 5 5 2 1 1 1 1 0 65535 65535 0 65535
tcp 58.58.80.224 10.0.3.15 443 44813 40 43 197 665 43 1460 455881 58 61 215 683 61 1478 455881 5 5 5 5 5 5 0 24 24 6 16 6 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 111.32.143.149 45061 443 40 40 40 102 40 429 16795 58 58 58 120 58 447 16795 5 5 5 5 5 5 0 14 13 8 5 4 1 1 0 41180 14600 0 25934
tcp 10.0.3.15 119.29.29.29 33177 80 40 40 40 113 40 385 18556 58 58 58 131 58 403 18556 5 5 5 5 5 5 0 5 4 2 2 1 1 1 0 15544 14600 0 14978
tcp 111.32.143.149 10.0.3.15 443 45061 40 40 972 783 40 1460 455523 58 58 990 801 58 1478 455523 5 5 5 5 5 5 0 18 18 5 11 3 1 1 0 65535 65535 0 65535
